,movie_link,title,description,genres,date_released
11914,m/pocket_money,Pocket Money,"In the American Southwest, Jim Kane (Paul Newman) scrapes a living as a cowboy. The trouble is, something always seems to go wrong. His latest job concerns transporting a herd of cattle from Mexico into the United States for shifty businessman Bill Garrett (Strother Martin). But Kane knows it won't be easy -- he only just lost money when the horses he tried to bring over were quarantined by customs. Desperate for pay, he goes ahead anyway, teaming up with his old partner, Leonard (Lee Marvin).","Classics, Comedy, Western",1972-02-01
12874,m/saturday_night_fever,Saturday Night Fever,"Tony Manero (John Travolta) doesn't have much going for him during the weekdays. He still lives at home and works as a paint store clerk in his Brooklyn, N.Y., neighborhood. But he lives for the weekends, when he and his friends go to the local disco and dance the night away. When a big dance competition is announced, he wrangles the beautiful and talented Stephanie (Karen Lynn Gorney) to be his partner. As the two train for the big night, they start to fall for each other as well.","Classics, Drama, Musical & Performing Arts",1977-12-19
2101,m/a_ciambra,A Ciambra,A 14-year-old miscreant sets out to prove he's ready to step into his older brother's shoes.,Drama,2018-01-26
2860,m/apocalypse_now_redux_2001,Apocalypse Now Redux,"Secret ops assassin Captain Willard (Martin Sheen) is sent on a mission up a river during the Vietnam War to ""terminate with extreme prejudice"" the errant Colonel Kurtz (Marlon Brando). In addition to being re-edited with the new footage, the film has been completely restored, converted to digital, and reprinted by dye-transfer, improving color reproduction.",Drama,2001-08-17
12643,m/rocketman_1997,RocketMan,"A clumsy, impulsive scientist (Harland Williams) is chosen to go aboard NASA's first manned flight to Mars.","Comedy, Drama, Science Fiction & Fantasy",1997-10-10
16653,m/un_padre_no_tan_padre,Un Padre No Tan Padre,"Don Servando Villegas (Héctor Bonilla) is an old-fashioned Mexican patriarch who gets kicked out of his retirement home for bad behavior. With no place else to go, Don must now live with his estranged son Francisco (Benny Ibarra de Llano) in the house that he shares with his girlfriend. New Age collides with old age as father and child soon start to clash over just about everything.","Art House & International, Comedy",2017-01-27
6179,m/exit_through_the_gift_shop,Exit Through The Gift Shop,"The infamous, shadowy British graffiti street artist Banksy has literally left his mark on cities throughout the world. He comes in contact with Thierry Guetta, a Los Angeles-based Frenchman who videotapes various underground art escapades, and later is transformed into an art phenomenon dubbed ""Mr. Brainwash."" Rhys Ifans narrates an overlapping documentary where the line between what is real and what might be fake blurs, as modern art and celebrity are put under the microscope.","Comedy, Documentary, Musical & Performing Arts, Special Interest",2010-04-16
10734,m/muppet_movie,The Muppet Movie,"After Kermit the Frog decides to pursue a movie career, he starts his cross-country trip from Florida to California. Along the way, he meets and befriends Fozzie Bear, Miss Piggy, Gonzo and rock musicians Dr. Teeth and the Electric Mayhem. When Kermit is offered a job by Doc Hopper (Charles Durning) to advertise the fried frog legs at his restaurant chain, Kermit turns Hopper down. However, Hopper refuses to relent and pursues Kermit and his companions to a final showdown.","Action & Adventure, Comedy, Kids & Family",1979-06-22
9217,m/landline,Landline,"Two sisters come of age in '90s New York when they discover their dad's affair. Eventually, they learn he's not the only cheater in the family.",Comedy,2017-07-21
4922,m/cousin_jules,Cousin Jules,Filmmaker Dominique Benichetti spends five years recording the daily lives of two French farmers who live alone in the countryside.,Documentary,2013-11-27
256,m/10011774-chloe,Chloe,"Catherine and David Stewart (Julianne Moore, Liam Neeson) are a well-to-do couple living in a posh area of Toronto, but all is not well in paradise. Catherine suspects that David, a music professor, is cheating on her with his students. She hires a prostitute named Chloe (Amanda Seyfried) to meet David and see if he gives in to temptation, but events spin out of control when Chloe spills the details of her torrid encounters.","Drama, Mystery & Suspense",2010-03-26
15823,m/the_snowtown_murders,The Snowtown Murders,A charismatic but violent predator (Daniel Henshall) takes his girlfriend's teenage son (Lucas Pittaway) under his wing and makes him an accomplice in a murder spree.,"Art House & International, Drama, Mystery & Suspense",2012-03-02
9158,m/la_maison_de_la_radio,La Maison De La Radio,"Director Nicolas Philibert spends 24 hours in Radio France to observe the studios, producers and presenters.","Documentary, Special Interest",2013-09-04
8958,m/kill_bill_volume_2,Kill Bill: Volume 2,"The Bride (Uma Thurman) picks up where she left off in volume one with her quest to finish the hit list she has composed of all of the people who have wronged her, including ex-boyfriend Bill (David Carradine), who tried to have her killed four years ago during her wedding to another man. Leaving several dead in her wake, she eventually tracks down Bill in Mexico. Using skills she has learned during her assassin career, she attempts to finish what she set out to do in the first place.","Action & Adventure, Comedy, Drama",2004-04-16
7629,m/heimat_is_a_space_in_time,Heimat Is a Space in Time (Heimat ist ein Raum aus Zeit),"Filmmaker Thomas Heise examines nearly 100 years of German history through the prism of his own complex genealogy, drawing on letters, diaries and other documents from throughout the 20th century.",Documentary,2020-03-13
7342,m/grumpier_old_men,Grumpier Old Men,"Elderly, angling and contentious friends Max (Walter Matthau) and John (Jack Lemmon) back-burner their bickering when their kids (Kevin Pollak, Daryl Hannah) get engaged, but fishing season opens a can of romantic worms as newcomer Maria (Sophia Loren) plans to turn their beloved bait shop into a restaurant. Botched matchmaking leads to some major romantic mix-ups, until an unexpected death in the family helps everyone realize that the most important thing in life is love.",Comedy,1995-12-22
152,m/10009225-body_of_lies,Body of Lies,"CIA agent Roger Ferris (Leonardo DiCaprio) hatches a bold but dangerous plan to capture terrorist Al-Saleem. With the help of Ed Hoffman (Russell Crowe) who is a master of subterfuge, Ferris creates a fake terrorist organization to prompt Al-Saleem out of hiding. At the same time, Ferris must keep his plan secret from Hani (Mark Strong), the head of Jordanian intelligence, because Ferris will lose his own life if Hani finds out.","Drama, Mystery & Suspense",2008-10-08
13815,m/stars_fell_on_henrietta,The Stars Fell on Henrietta,"During the Great Depression, Mr. Cox (Robert Duvall) is a talented oil prospector who's yet to strike it rich. During a windstorm, Cox takes refuge in a small Texas farmhouse owned by Don Day (Aidan Quinn), who is struggling to provide for his wife, Cora (Frances Fisher), and their three young daughters. When Cox gets the feeling there's oil on the Days' property, he seeks financial backing from an oil baron named Big Dave (Brian Dennehy), who's reluctant to help.",Drama,1995-06-01
858,m/1032176-goodfellas,GoodFellas,"A young man grows up in the mob and works very hard to advance himself through the ranks. He enjoys his life of money and luxury, but is oblivious to the horror that he causes. A drug addiction and a few mistakes ultimately unravel his climb to the top. Based on the book ""Wiseguy"" by Nicholas Pileggi.",Drama,1990-09-19
3256,m/battle_for_the_planet_of_the_apes,Battle For The Planet Of The Apes,"""Battle for the Planet of the Apes"" is the final chapter in the sci-fi movie series. In this chapter, a tribute of human atomic bomb mutations are out to make life miserable for the peaceful ape tribe. The story is told primarily in flashback with the opening and closing taking place in the year 2670.","Action & Adventure, Classics, Science Fiction & Fantasy",1973-01-01
365,m/1003857-champion,Champion,"Scrappy Michael ""Midge"" Kelly (Kirk Douglas), on the run from a shotgun marriage and needing to help support his handicapped brother, Connie (Arthur Kennedy), angles his way into a short-term job as a boxer. His life of hard knocks has given Midge a fiery temper and a will to win that quickly makes him one of the most popular fighters on the circuit. But when he gets instructed to take a dive in a championship bout, his bosses learn that no one tells Midge Kelly what to do.","Classics, Drama",1949-01-01
8404,m/insurgent,Insurgent,"Now on the run from Jeanine (Kate Winslet) and the rest of the power-hungry Erudites, Tris (Shailene Woodley) and Four (Theo James) search for allies and answers in the ruins of Chicago. They must find out what Tris' family sacrificed their lives to protect and why the Erudites will do anything to stop them. Side by side, Tris and Four face one seemingly insurmountable challenge after another, as they unravel the secrets of the past and -- ultimately -- the future of their world.","Action & Adventure, Drama, Science Fiction & Fantasy, Romance",2015-03-20
3680,m/blackbeards_ghost,Blackbeard's Ghost,"After accidentally reciting some magic words, track coach Steve Walker (Dean Jones) summons the ghost of the dreaded pirate Blackbeard (Peter Ustinov). The spirit explains to Steve that he was cursed by his wife to roam the Earth until he performs one good deed. Since Steve is the only one who can hear or see Blackbeard, he has no choice but to aid him in his task. Together, they help Professor Backer (Suzanne Pleshette) stop a gang of crooks from taking over an inn for the elderly.","Comedy, Kids & Family, Science Fiction & Fantasy",1968-02-08
14326,m/ten_thousand_saints_2015,Ten Thousand Saints,"A teen (Asa Butterfield), a pregnant girl (Hailee Steinfeld) and the lead singer (Emile Hirsch) of a punk-rock band form their own surrogate family in late-1980s New York.","Comedy, Drama",2015-08-14
3291,m/beast_stalker,Ching yan (The Beast Stalker),"Sgt. Tong's attempt to arrest a fleeing criminal goes spectacularly wrong, ending in a massive pile-up and innocent lives lost in the gunshots exchanged between the police and villains.","Action & Adventure, Art House & International, Mystery & Suspense",2008-11-27
4768,m/collateral_beauty,Collateral Beauty,"When a successful New York advertising executive (Will Smith) suffers a great tragedy, he retreats from life. While his concerned friends try desperately to reconnect with him, he seeks answers from the universe by writing letters to Love, Time and Death. When his notes bring unexpected personal responses, he begins to understand how these constants interlock in a life fully lived and how even the deepest loss can reveal moments of meaning and beauty.",Drama,2016-12-16
4505,m/chi_raq,Chi-Raq,The girlfriend (Teyonah Parris) of a Chicago gang leader (Nick Cannon) persuades other frustrated women to abstain from sex until their men agree to end the senseless cycle of violence.,Drama,2015-12-04
8496,m/isnt_it_romantic_2019,Isn't It Romantic,"Natalie is a New York architect who works hard to get noticed at her job, but is more likely to deliver coffee and bagels than design the city's next skyscraper. Things go from bad to weird when she gets knocked unconscious during a subway mugging and magically wakes up to find herself in an alternate universe. Always cynical about love, Natalie's worst nightmare soon comes true when she suddenly discovers that she's playing the leading lady in a real-life romantic comedy.","Comedy, Romance",2019-02-13
2519,m/all_eyez_on_me_2017,All Eyez on Me,"The true and untold story of prolific rapper, actor, poet and activist Tupac Shakur (Demetrius Shipp Jr.), from his early days in New York to his status as one of the world's most recognized and influential voices. Against all odds, Shakur's raw talent, powerful lyrics and revolutionary mindset establish him as a cultural icon whose legacy continues to grow long after his death.",Drama,2017-06-16
7405,m/hairspray,Hairspray,"In 1960s Baltimore, dance-loving teen Tracy Turnblad (Nikki Blonsky) auditions for a spot on ""The Corny Collins Show"" and wins. She becomes an overnight celebrity, a trendsetter in dance, fun and fashion. Perhaps her new status as a teen sensation is enough to topple Corny's reigning dance queen and bring racial integration to the show.","Comedy, Musical & Performing Arts",2007-07-20
14604,m/the_big_year,The Big Year,"Three men find that they have come to a turning point. Stu (Steve Martin) faces a late-life crisis, Kenny (Owen Wilson) is in the grip of a midlife crisis, and Brad (Jack Black) is wallowing in a no-life crisis. Determined to kick-start their stagnant lives, Stu, Kenny and Brad decide to enter a prestigious contest. During the course of one calendar year, the three friendly rivals criss-cross North America in a quest to count more species of birds than anyone else.",Comedy,2011-10-14
8056,m/i_am_happiness_on_earth,I Am Happiness on Earth,"Emiliano looks at his life with the eyes of a film director, and mixes objective reality with artistic creation. As the story he is filming flounders, his world becomes trapped in the lens of a camera.",Drama,2014-08-15
15506,m/the_naked_island,The Naked Island (Hadaka no shima),"A study in the constant struggle of agrarian life, this dialogue-free, black-and-white film depicts one family's difficult existence. The sole inhabitants of an island in Japan's Seto Inland Sea, the impoverished family sees their tough life as farmers become even more challenging when the oldest son (Shinji Tanaka) falls deathly ill while his parents (Nobuko Otowa, Taiji Tonoyama) are away gathering water. Confronted with this tragedy, the family must work even harder to survive.","Art House & International, Drama",1960-11-23
1251,m/1091628-k911,K-911,"This sequel follows police Detective Michael Dooley (James Belushi) and his faithful German shepherd partner, Jerry Lee, who have been working together for 10 years. For Jerry Lee, this means that the canine is quite old, and has a hard time keeping up with police duties. Joining the pair is fellow officer Wendy Welles (Christine Tucci) and her tough Doberman pinscher. Together, Dooley, Welles and their respective dogs attempt to track down a gun-wielding psychopath.","Action & Adventure, Comedy",1999-12-01
13987,m/stronger_2017,Stronger,"Jeff Bauman loses both of his legs when two bombs explode during the Boston Marathon on April 15, 2013. After regaining consciousness in the hospital, Jeff is able to help law enforcement identify one of the suspects, but his own battle is just beginning. With unwavering support from his family and girlfriend, Bauman embarks on a long and heroic journey to physical and emotional rehabilitation.",Drama,2017-09-22
13125,m/shadow_2011,Shadow,A war veteran's mountain-biking vacation turns nightmarish when he is captured by a psychopath.,"Art House & International, Horror",2011-01-29
14019,m/sucker_punch_2011,Sucker Punch,"Locked away, a young woman named Babydoll (Emily Browning) retreats to a fantasy world where she is free to go wherever her mind takes her. Determined to fight for real freedom, she finds four women -- Rocket, Blondie, Amber and Sweet Pea -- to join together to escape the terrible fate that awaits them. With a virtual arsenal at their disposal, the allies battle everything from samurais to serpents, while trying to decide what price they will pay for survival.","Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",2011-03-25
9493,m/life_of_david_gale,The Life of David Gale,"David Gale (Kevin Spacey) is a man who has tried hard to live by his principles but in a bizarre twist of fate, this devoted father, popular professor and respected death penalty opponent finds himself on Death Row for the rape and murder of fellow activist Constance Hallaway (Laura Linney). With only three days before his scheduled execution, Gale agrees to give reporter Bitsey Bloom (Kate Winslet) the exclusive interview she's been chasing.","Drama, Mystery & Suspense",2003-02-21
11424,m/operator_2016,Operator,A programmer and a budding comedian are happily married until they use each other in their work.,"Comedy, Drama",2016-11-08
8428,m/into_the_forest,Into The Forest,"In the wilds of the Pacific Northwest, two sisters (Ellen Page, Evan Rachel Wood) must fight for survival after an apocalyptic blackout leaves them without gas, water, electricity or cellphones.","Art House & International, Drama, Science Fiction & Fantasy",2016-07-29
5246,m/dead_again,Dead Again,"When a mute woman suffering from amnesia (Emma Thompson) arrives at the gates of an old orphanage, private investigator Mike Church (Kenneth Branagh) is asked to find out who she is. With the help of a hypnotist (Derek Jacobi), the woman regains her voice and recalls vivid past memories of a couple from the 1940s torn apart by murder. Church begins to develop feelings for the woman, who he calls Grace, and then discovers he has a connection to the tragic couple from the 40s.","Drama, Mystery & Suspense, Romance",1991-08-23
6865,m/gammera_the_invincible,Daikaijû Gamera (The Giant Monster Gamera),American and Japanese military officials join forces to remove a fire-breathing monster from the Pacific islands.,"Art House & International, Science Fiction & Fantasy",1965-11-26
9436,m/lets_do_it_again,Let's Do It Again,"Milkman Clyde Williams (Sidney Poitier) and his best friend, Billy Foster (Bill Cosby), are members of a fraternal lodge, The Brothers and Sisters of Shaka, that needs money for the retirement home they sponsor. Since Clyde has a gift for hypnotism, they decide to fix an upcoming boxing match by hypnotizing the underdog fighter (Jimmie Walker). The scam works, and the men collect big winnings before a couple of mafia dons realize they've been tricked and decide to track Clyde and Billy down.","Classics, Comedy",1975-10-11
939,m/1042135-malcolm_x,Malcolm X,"A tribute to the controversial black activist and leader of the struggle for black liberation. He hit bottom during his imprisonment in the '50s, he became a Black Muslim and then a leader in the Nation of Islam. His assassination in 1965 left a legacy of self-determination and racial pride.",Drama,1992-11-18
9749,m/lost_river_2015,Lost River,A single mother is swept into a dark underworld while her son discovers an underwater town.,"Mystery & Suspense, Science Fiction & Fantasy",2015-04-10
12559,m/riot_in_cell_block_11,Riot in Cell Block 11,"Inmates and the warden (Emile Meyer) face off in a hostage crisis, with the media watching.","Action & Adventure, Drama, Mystery & Suspense",1954-02-28
6734,m/free_willy_3_the_rescue,Free Willy 3: The Rescue,"In the third ""Free Willy"" film, Jesse (Jason James Richter) is 16 and employed aboard a research ship along with his old friend and mentor, Randolph (August Schellenberg). After Jesse meets Max (Vincent Berry), the disapproving son of a whaler hoping to catch Willy the orca for his meat, the two team with oceanographer Drew (Annie Corley) to stop the whalers before they can get to Willy and the rest of his pod, and convince them to give up their cruel and illegal practice.","Action & Adventure, Drama, Kids & Family",1997-08-08
3949,m/bra_boys,Bra Boys,"The Abberton brothers in Maroubra, Australia, belong to their community's surfing subculture, a group with a well-known reputation for partying, hard living and rough justice.","Documentary, Special Interest",2008-08-12
11328,m/on_line,On_Line,"Set in Manhattan's cybersex industry, ""On-Line"" at first appears to be about people getting off without ever touching, but it's much more. Built around revealing and often funny videos with ""net-izens"" like man-on-man host AI Fleming (John Fleck), Internet fantasy girl Jordan Nash (Vanessa Ferlito), self-destructive artist Moira Ingalls (Isabel Gillies), and Ohio innocent Ed Simone (Eric Millegan), ""On-Line"" uses a mix of new technology and romantic narrative to tell a classic story.",Drama,2003-09-24
3172,m/bangkok_dangerous,Bangkok Dangerous,"Remorseless assassin Joe (Nicolas Cage) is in Thailand to complete a series of contract killings for a crime boss called Surat (Nirattisai Kaljaruek). He hires a street punk named Kong (Shahkrit Yamnarm) to run errands for him, all the while planning to kill the youth at the conclusion of his assignment. Instead, Joe becomes Kong's unlikely mentor,and begins a tentative romance with a local shop girl. But as Joe begins to let his guard down, Surat decides it is time to clean house.","Action & Adventure, Drama, Mystery & Suspense",2008-08-22
9385,m/lemony_snicket,Lemony Snicket's A Series of Unfortunate Events,"After the three young Baudelaire siblings are left orphaned by a fire in their mansion, they are carted off to live with their distant relative, Count Olaf (Jim Carrey). Unfortunately, Olaf is a cruel, scheming man only after the inheritance that the eldest Baudelaire, Violet (Emily Browning), is set to receive. The children escape and find shelter with their quirky Uncle Monty (Billy Connolly) and, subsequently, their phobic Aunt Josephine (Meryl Streep), but Olaf is never far behind.","Action & Adventure, Comedy, Kids & Family",2004-12-17
4631,m/city_of_angels,City of Angels,"This is the story of Seth (Nicolas Cage), an angel who wanders the Los Angeles area invisible to humans. As the demise of an individual approaches, he spends time near them and becomes visible while acting as their traveling companion during their trip to the great hereafter. His discovery of distraught heart surgeon Maggie (Meg Ryan) inspires him to forego his immortality and exist on earth with her as a feeling and mortal entity.","Drama, Science Fiction & Fantasy, Romance",1998-04-10
3078,m/bachelorette,Bachelorette,"After ruining their friend's wedding gown, bridesmaids (Kirsten Dunst, Isla Fisher, Lizzy Caplan) set out on a frantic search for a replacement, but their mission degenerates into a night of booze, drugs and nightclubbing.",Comedy,2012-09-07
3099,m/bad_ass_2012,Bad Ass,A decorated Vietnam War veteran (Danny Trejo) takes justice into his own hands when his best friend is murdered and the police are slow to solve the case.,Action & Adventure,2012-04-13
10216,m/maze,Maze,"Lyle Maze (Rob Morrow) has fought a life-long battle with Tourette's syndrome and obsessive-compulsive disorder. Neither have stood in the way of his career -- he's a successful artist, working in painting and sculpture -- but they've stood in the way of his finding love and feeling truly accepted. When Lyle's best friend, Mike (Craig Sheffer), goes on a Doctors Without Borders mission in Burundi, Lyle finds himself falling for Mike's pregnant girlfriend, Callie (Laura Linney).","Animation, Art House & International, Comedy, Drama, Science Fiction & Fantasy",2001-11-09
2252,m/a_whisper_to_a_roar_2012,A Whisper To A Roar,"Filmmaker Ben Moses examines how certain leaders have risen to power and liberated their countries, only to become despots themselves.","Documentary, Special Interest",2012-10-12
10759,m/muscle_shoals_2013,Muscle Shoals,"Filmmaker Greg Camalier pays tribute to an Alabama city that holds a prominent place in music history. Artists who recorded at FAME Studios in Muscle Shoals, Ala., include Percy Sledge, Aretha Franklin and Lynyrd Skynyrd.","Documentary, Musical & Performing Arts, Special Interest",2013-09-27
746,m/1019828-star_is_born,A Star Is Born,"When a young actress (Janet Gaynor) arrives in Hollywood with hopes of stardom, a chance encounter places her under the wing of older actor Norman Maine (Fredric March). Adopting the stage name Vicki Lester, she co-stars with Norman in a major motion picture, but his success is clearly fading even as her career begins. After the couple wed, Vicki's fame continues to grow, but Norman descends into alcoholism, and she must decide between pursuing her dream and caring for him.","Classics, Drama",1937-04-20
10246,m/mechanic_resurrection,Mechanic: Resurrection,"Living under cover in Brazil, master assassin Arthur Bishop (Jason Statham) springs back into action after an old enemy (Sam Hazeldine) kidnaps the woman (Jessica Alba) he loves. To save her life, Bishop must kill an imprisoned African warlord, a human trafficker (Toby Eddington) and an arms dealer (Tommy Lee Jones), all while making the deaths look like accidents. When things don't go exactly as planned, Bishop turns the tables on the people who forced him out of retirement.","Action & Adventure, Mystery & Suspense",2016-08-26
9564,m/little_big_man,Little Big Man,"When a curious oral historian (William Hickey) turns up to hear the life story of 121-year-old Jack Crabb (Dustin Hoffman), he can scarcely believe his ears. Crabb tells of having been rescued and raised by the Cheyenne, of working as a snake-oil salesman, as a gunslinger, and as a mule skinner under Gen. Custer (Richard Mulligan). As if those weren't astonishing enough, he also claims to be the only white survivor of the infamous Battle of the Little Bighorn.","Action & Adventure, Classics, Western",1970-12-14
7195,m/good_woman,A Good Woman,"Having scorned every member of the New York upper class, the seductive Mrs. Erlynne (Helen Hunt) travels to Amalfi, Italy, hoping to win over a married aristocrat, Robert Windermere (Mark Umbers). When news of their flirting becomes a scandal, Windermere's innocent wife, Meg (Scarlett Johansson), plots an elaborate revenge, despite her own attraction to the young Lord Darlington (Stephen Campbell Moore). At Meg's 20th birthday party, all illicit desires come to the surface.","Comedy, Drama, Romance",2006-02-03
9330,m/le_nom_des_gens_2011,Le nom des gens (The Names of Love),A sheltered scientist (Jacques Gamblin) and a sexy political activist (Sara Forestier) have a May-December romance.,"Art House & International, Comedy",2011-06-24
9226,m/larnacoeur,Heartbreaker (L'Arnacoeur),"Alex (Romain Duris) is a successful entrepreneur in a business he himself pioneered: Hire him, and he'll seduce any woman you want into falling in love with him, thus breaking her out of an existing relationship, after which he'll disappear. When a wealthy businessman asks him to break up his daughter's relationship before her wedding in 10 days, it sounds tough but doable -- that is, until he meets the bride, Juliette (Vanessa Paradis), who may be the first woman to resist his charms.","Art House & International, Comedy, Romance",2010-09-10
1110,m/1072833-alaska,Alaska,"Jake Barnes moves his daughter and son to Alaska and earns money by ferrying supplies to locations throughout the state. His daughter loves it, but her brother doesn't and he can't wait to leave. However, they join forces to look for their father when they learn that he has gone down in an airplane accident. The official search party is called off and Jake is assumed dead, but the children will have none of it, and go off on their own into the Alaskan wilderness.","Action & Adventure, Kids & Family",1996-08-14
1540,m/1159618-superhero,Superhero Movie,"After a bite from a genetically altered insect gives him superhuman abilities, teenage loser Rick Riker (Drake Bell) decides to use his powers for good. Donning an uncomfortably tight costume, Rick becomes a mysterious crime fighter known as ""The Dragonfly."" But standing in the way of truth, justice and the American Way is an evil villain known as ""The Hourglass,"" who plans to become immortal by sucking the life force out of anyone who gets in his way.","Action & Adventure, Comedy",2008-03-28
14301,m/teenage-paparazzi,Teenage Paparazzo,An examination of the relationship between celebrity and society.,"Documentary, Special Interest",2010-12-31
1872,m/13_ghosts,13 Ghosts,"When Cyrus Zorba (Donald Woods) and his poverty-stricken family inherit an old mansion, they can't believe their good luck. However, not long after they move in they realize that the house is haunted by 12 ghosts and run by a housekeeper (Margaret Hamilton) who works in the dark arts. Though the ghosts are intent on killing a member of the family, the Zorbas insist on staying in the house because they have learned that a large fortune is hidden somewhere inside it.","Classics, Horror",1960-08-05
6850,m/gabrielle_2013,Gabrielle,A young woman who has Williams syndrome possesses amazing musical talents but struggles continually to gain her independence.,Drama,2014-07-04
3839,m/body_double,Body Double,"After losing an acting role and his girlfriend, Jake Scully (Craig Wasson) finally catches a break: he gets offered a gig house-sitting in the Hollywood Hills. While peering through the beautiful home's telescope one night, he spies a gorgeous blonde (Deborah Shelton) dancing in her window. But when he witnesses the girl's murder, it leads Scully through the netherworld of the adult entertainment industry on a search for answers -- with porn actress Holly Body (Melanie Griffith) as his guide.","Drama, Mystery & Suspense",1984-01-01
11448,m/oritsu_uchugun_oneamisu_no_tsubasa,Ôritsu uchûgun Oneamisu no tsubasa (Royal Space Force - Wings of Honneamise),"In this animated film, Shiro (Leo Morimoto) fails to become a navy pilot for the mythical kingdom of Honneamise but is accepted into the Royal Space Force. To keep their funding from being cut off, the agency must make Shiro the first man in space. Shiro befriends Riquinni (Mitsuki Yayoi), a religious fundamentalist opposed to the program. When he discovers the military hopes to use the rocket launch as an aggressive gesture to declare war on Honneamise's neighbors, he questions his assignment.","Animation, Anime & Manga, Drama, Science Fiction & Fantasy",1987-06-01
10834,m/my_kid_could_paint_that,My Kid Could Paint That,"After watching her dad paint, 4-year-old Marla Olmstead decides she'd like to be a painter too. Showing remarkable facility, she's soon got paintings hanging in a local coffee shop and a handful of interested buyers. A local paper picks up the story, followed by the New York Times, and overnight Marla is hailed as a child prodigy. But not everybody is convinced that Marla painted the works alone. In the wake of a ""60 Minutes"" piece about her, it begins to look more and more like she had help.","Documentary, Musical & Performing Arts, Special Interest",2007-10-05
15274,m/the_kid_with_a_bike,The Kid with a Bike,"Abandoned by his father, a young boy (Thomas Doret) begins to act out in anger, despite the best efforts of his kindhearted caretaker (Cécile de France).","Art House & International, Drama",2012-03-16
5942,m/electric_slide,Electric Slide,"In 1980s Los Angeles, antique dealer Eddie Dodson (Jim Sturgess) robs more than 60 banks and becomes known as the ""Gentleman Bank Robber.""",Drama,2015-04-03
15476,m/the_mirror_1975,The Mirror,"Using a nonlinear structure interlaced with dreams and flashbacks, director Andrei Tarkovsky creates a stream-of-consciousness meditation on war, memory and time that draws heavily on events from his own life. Tarkovsky's film alter ego is Alexei (Ignat Daniltsev), a dying man in his 40s whose commonplace interactions with his wife (Margarita Terekhova) and children summon up a host of memories, ranging from his parents' divorce to his time on the battlefields of World War II.","Art House & International, Drama, Special Interest",1975-01-01
4753,m/cold_moon,Cold Moon,"In a sleepy Southern town, the Larkin family suffer a terrible tragedy and they're about to endure another. Traffic lights blink an eerie warning, a ghostly visage prowls in the streets, and graves erupt from the local cemetery in an implacable march of terror. And beneath the murky surface of the river, a shifting, almost human, shape slowly takes form to seek a terrible vengeance.",Mystery & Suspense,2017-10-06
6328,m/faster_pussycat_kill_kill,"Faster, Pussycat! Kill! Kill!","Russ Meyer's cult favorite follows sadistic go-go dancers Varla (Tura Satana), Rosie (Haji) and Billie (Lori Williams) as they break free from the nightclub where they perform and race out to the desert to stir up a little mayhem. After karate expert Varla kills an innocent man, the voluptuous trio takes his girlfriend (Susan Bernard) hostage as they attempt to wheedle a hidden fortune from a misogynistic old man (Paul Trinka) and his muscle-bound, brain-damaged son (Dennis Busch).","Action & Adventure, Comedy, Drama",1965-01-01
16444,m/transformers_revenge_of_the_fallen,Transformers: Revenge of the Fallen,"Two years after he and his Autobot friends saved the Earth from the Decepticons, Sam Witwicky (Shia LaBeouf) faces a new battle: college. Meanwhile, Optimus Prime and the Autobots are working with a secret military organization and trying to make a home for themselves on Earth. When an ancient Decepticon known as The Fallen rises up to wreak vengeance, Sam and his girlfriend, Mikaela, must figure out the history of the Transformers on Earth and find a way to defeat The Fallen once and for all.","Action & Adventure, Science Fiction & Fantasy",2009-06-24
6871,m/gangster-no-1,Gangster No. 1,"The time is now. The scene is a ringside table at a boxing match, held at a deluxe London hotel. At the head of the table sits Gangster (Malcolm McDowell), the undisputed king of London's gangland. Life couldn't be sweeter, until Gangster learns that Freddie Mays is being released from prison. Freddie Mays, his old boss and mentor, is coming out after doing 30 years for murder. Hearing Freddie Mays' name, even after all these years, stirs up a frightening well of emotions in Gangster...","Action & Adventure, Art House & International, Drama, Mystery & Suspense",2000-01-01
6155,m/evidence_2013,Evidence,"Detectives (Radha Mitchell, Stephen Moyer) use clues from various recording devices to piece together events surrounding a massacre involving bus passengers at an abandoned gas station.","Horror, Mystery & Suspense",2013-07-19
16306,m/to_have_and_have_not,To Have and Have Not,"In Vichy France, fishing boat captain Harry (Humphrey Bogart) avoids getting involved in politics, refusing to smuggle French Resistance fighters into Martinique. But when a Resistance client is shot before he can pay, Harry agrees to help hotel owner Gerard (Marcel Dalio) smuggle two fighters to the island. Harry is further swayed by Slim (Lauren Bacall), a wandering American girl, and when the police take his friend Eddie (Walter Brennan) hostage, he is forced to fight for the Resistance.","Action & Adventure, Classics, Drama, Mystery & Suspense, Romance",1944-10-11
16117,m/they_came_together,They Came Together,The owner (Amy Poehler) of an independent candy shop and the corporate stooge (Paul Rudd) who has been sent to shut her down begin an unlikely romance.,Comedy,2014-06-27
15896,m/the_theory_of_everything_2014,The Theory of Everything,"In the 1960s, Cambridge University student and future physicist Stephen Hawking (Eddie Redmayne) falls in love with fellow collegian Jane Wilde (Felicity Jones). At 21, Hawking learns that he has motor neuron disease. Despite this -- and with Jane at his side -- he begins an ambitious study of time, of which he has very little left, according to his doctor. He and Jane defy terrible odds and break new ground in the fields of medicine and science, achieving more than either could hope to imagine.",Drama,2014-11-07
